CustomerID,Lookalikes
C0001,"[('C0069', 0.6895), ('C0105', 0.6723), ('C0050', 0.6069)]"
C0002,"[('C0109', 0.7196), ('C0076', 0.6866), ('C0178', 0.6692)]"
C0003,"[('C0031', 0.6686), ('C0144', 0.6324), ('C0181', 0.623)]"
C0004,"[('C0075', 0.7101), ('C0041', 0.6577), ('C0053', 0.6542)]"
C0005,"[('C0192', 0.837), ('C0088', 0.768), ('C0072', 0.7376)]"
C0006,"[('C0040', 0.7667), ('C0182', 0.7275), ('C0057', 0.6157)]"
C0007,"[('C0020', 0.7289), ('C0140', 0.7138), ('C0085', 0.6769)]"
C0008,"[('C0143', 0.7222), ('C0103', 0.6409), ('C0059', 0.5811)]"
C0009,"[('C0129', 0.7145), ('C0062', 0.714), ('C0098', 0.7104)]"
C0010,"[('C0029', 0.781), ('C0092', 0.7242), ('C0083', 0.7087)]"
C0011,"[('C0169', 0.7485), ('C0137', 0.7136), ('C0136', 0.7025)]"
C0012,"[('C0173', 0.7622), ('C0091', 0.7112), ('C0164', 0.6804)]"
C0013,"[('C0169', 0.7145), ('C0046', 0.6915), ('C0067', 0.6195)]"
C0014,"[('C0106', 0.778), ('C0128', 0.6697), ('C0195', 0.6281)]"
C0015,"[('C0127', 0.6138), ('C0146', 0.5993), ('C0121', 0.5902)]"
C0016,"[('C0187', 0.678), ('C0052', 0.6196), ('C0064', 0.5762)]"
C0017,"[('C0028', 0.6696), ('C0024', 0.6412), ('C0087', 0.6321)]"
C0018,"[('C0026', 0.609), ('C0114', 0.5633), ('C0163', 0.5548)]"
C0019,"[('C0139', 0.6113), ('C0084', 0.5723), ('C0064', 0.5593)]"
C0020,"[('C0026', 0.8044), ('C0007', 0.7289), ('C0119', 0.639)]"
